account_id,customer_id,customer_name,product_type,delinquency_stage,days_past_due,overdue_amount,total_balance,risk_flag,current_status,email,mobile_phone,postcode,last_contact_channel,self_service_candidate,created_date
ACC-10013,CUST-50013,Mrs Shannon James,credit_card,mid,45,729.81,6839.45,N,new_delinquency,pcoates@example.org,88228671202,S1H 5SZ,phone,Y,2025-10-05
ACC-10014,CUST-50014,Brett Singh,personal_loan,early,13,1566.5,7156.99,Y,promise_due,danielsrosemary@example.com,88404142953,W0D 4YQ,phone,N,2025-12-27
ACC-10015,CUST-50015,Mr Bernard Smith,credit_card,late,62,1501.59,15228.98,Y,specialist_review,jlewis@example.net,32750935905,G6D 3FW,letter,N,2026-01-18
ACC-10016,CUST-50016,Sarah Hall,credit_card,late,113,1558.83,2446.02,N,email sent,conor42@example.com,35249640795,E0H 8RB,email,N,2025-12-31
ACC-10017,CUST-50017,Eric Barry,credit_card,early,13,128.42,5556.24,N,plan_requested,brian76@example.net,28973634006,CF49 3TP,phone,Y,2025-11-12
ACC-10018,CUST-50018,Ben Lane,credit_card,early,7,1301.41,3982.73,N,specialist_review,kellygeraldine@example.net,33226247040,DH3 8PE,,Y,2025-11-24
ACC-10019,CUST-50019,Emma Wyatt,personal_loan,early,28,896.1,9198.91,N,new_delinquency,ehughes@example.com,56020223311,G3T 4FX,email,Y,2025-11-06
ACC-10020,CUST-50020,Mrs Karen Brennan,credit_card,mid,58,642.15,10061.96,N,new_delinquency,nknight@example.org,91684370335,IM31 8GQ,,Y,2025-11-27
ACC-10021,CUST-50021,Mark Wood-Smith,personal_loan,early,8,900.88,10538.77,Y,specialist_review,damian46@example.com,40391581782,TF44 3QF,email,N,2025-12-10
ACC-10022,CUST-50022,Mr Jay Ferguson,personal_loan,early,17,1275.07,3231.5,Y,plan_requested,barbararowley@example.org,82324755216,SE4M 4UQ,sms,N,2025-11-25
ACC-10023,CUST-50023,Mrs Beverley Riley,personal_loan,mid,32,1681.9,8188.01,N,email_sent,kdavies@example.org,36702855659,B1T 2TJ,sms,Y,2025-10-23
ACC-10024,CUST-50024,Marilyn Glover-Mills,personal_loan,early,27,1212.68,9017.01,Y,new_delinquency,isaunders@example.org,75176280069,N11 3NJ,sms,N,2026-01-17
ACC-10025,CUST-50025,Adam Morris-Lewis,credit_card,mid,39,453.28,13320.62,N,awaiting_follow_up,,00495219135,KY8 3BL,letter,Y,2025-11-20
ACC-10026,CUST-50026,Yvonne Preston,personal_loan,mid,37,1302.31,3558.24,N,legal_watch,omorgan@example.org,72100319569,LD5 4RB,email,Y,2025-12-22
ACC-10027,CUST-50027,Nathan Bird,credit_card,late,102,1700.93,10074.31,Y,,kevinwilliams@example.net,87505332565,M90 4QU,,N,2026-01-14
ACC-10028,CUST-50028,Eric Fowler,credit_card,late,88,981.66,10743.17,Y,specialist_review,jonesemma@example.com,67568602498,JE82 2ZX,email,N,2025-11-20
ACC-10029,CUST-50029,Hannah Metcalfe,credit_card,early,17,729.89,14193.89,N,plan_requested,abdul90@example.net,81647237630,B5 1BW,phone,Y,2025-10-28
ACC-10030,CUST-50030,Anna Mason-West,personal_loan,late,87,406.56,14114.63,Y,specialist_review,,,DH12 7LP,email,N,2025-11-14
ACC-10031,CUST-50031,Naomi Smith,credit_card,early,27,650.63,9941.88,N,manual_follow_up,juliapugh@example.org,24286143109,S9 4GW,letter,Y,2025-10-02
ACC-10032,CUST-50032,Susan Hamilton,personal_loan,early,9,1788.68,12003.84,N,promise_due,jbailey@example.org,67681241773,S96 0ZX,sms,Y,2025-12-30
ACC-10033,CUST-50033,Geoffrey Jones-Hughes,credit_card,early,6,1568.75,8767.18,N,awaiting_follow_up,marc98@example.com,37439812559,CT0 8XX,email,Y,2026-01-09
ACC-10034,CUST-50034,Brian Gibson-Graham,personal_loan,mid,37,643.34,1776.37,N,specialist_review,ellie60@example.net,06955851059,CA0 2JZ,sms,Y,2026-01-21
ACC-10035,CUST-50035,Kerry Smith,personal_loan,mid,40,485.46,10324.18,N,specialist_review,,68828841543,G3 0UA,phone,Y,2025-11-17
ACC-10036,CUST-50036,Dr Stephen Ward,auto_finance,early,22,1685.69,12357.23,N,new_delinquency,joshua29@example.net,91473267182,B9 1SJ,phone,Y,2025-12-30
ACC-10037,CUST-50037,Elliot Miah,credit_card,mid,43,365.08,4012.64,N,manual_follow_up,kelly50@example.com,16115256537,N27 7TQ,phone,Y,2025-11-18
ACC-10038,CUST-50038,Julie Norris,personal_loan,mid,51,541.82,1330.69,N,new_delinquency,nwallace@example.net,95243079840,S01 4YF,phone,Y,2025-12-12
ACC-10039,CUST-50039,Patricia Cartwright-Phillips,personal_loan,early,17,1288.67,2152.48,N,plan_requested,owenkathryn@example.org,60214936268,B0W 4TH,,Y,2026-01-03
ACC-10040,CUST-50040,Debra Smith,credit_card,mid,53,382.24,4046.88,N,plan_requested,,80654880705,B6A 7RQ,letter,Y,2026-01-23
ACC-10041,CUST-50041,Jay Henderson,credit_card,mid,46,89.92,5659.83,N,Awaiting Follow Up,joanford@example.net,06769683808,S0 7WA,,Y,2025-12-24
ACC-10042,CUST-50042,Arthur West,personal_loan,early,14,1305.13,3041.8,N,awaiting_follow_up,gwright@example.org,,HP84 2HL,,Y,2026-01-02
ACC-10043,CUST-50043,Declan Smith,credit_card,early,23,1551.3,6225.68,N,legal_watch,josephine96@example.com,18093215607,CT63 9UQ,phone,Y,2025-12-20
ACC-10044,CUST-50044,Dr Tracey Williams,credit_card,late,114,1074.33,14625.72,N,legal_watch,grace34@example.org,46830872404,B4 1WD,email,N,2026-01-17
ACC-10045,CUST-50045,Paige Macdonald,personal_loan,early,16,80.08,12692.74,N,plan_requested,deborah76@example.org,07560540155,BH9P 1QA,phone,Y,2025-11-25
ACC-10046,CUST-50046,Dr Anne Khan,personal_loan,early,21,717.89,1895.46,N,manual_follow_up,twhitehead@example.com,91986365816,N57 8PX,sms,Y,2025-12-18
ACC-10047,CUST-50047,Mr Declan Wright,credit_card,mid,41,1589.54,11130.09,N,legal_watch,pcraig@example.com,36091213086,JE5W 5AX,letter,Y,2026-01-18
ACC-10048,CUST-50048,Liam Whittaker,credit_card,early,16,977.04,1903.12,N,no_response_cycle,davisondiane@example.com,87766186548,BB59 4AP,,Y,2026-01-17
ACC-10049,CUST-50049,Brandon Murphy,personal_loan,early,29,1592.15,10220.19,N,legal_watch,tclarke@example.com,26312412896,LD8 3FH,email,Y,2025-12-03
ACC-10050,CUST-50050,Ms Kim Patel,credit_card,early,25,1696.94,15468.6,Y,legal_watch,woodstracey@example.com,01692449665,M90 3FP,letter,N,2026-01-14
ACC-10051,CUST-50051,Luke Jones-Little,personal_loan,mid,41,254.2,1623.95,N,promise_due,fgallagher@example.com,32152813624,SM38 3RJ,,Y,2025-11-29
ACC-10052,CUST-50052,Kerry Williams,personal_loan,early,20,312.65,7420.39,N,manual_follow_up,jonesanna@example.com,83110863886,M7 3XY,sms,Y,2025-10-21
ACC-10053,CUST-50053,James Roberts,credit_card,early,8,1197.84,13054.45,N,Awaiting Follow Up,gillianstevens@example.org,85705376237,JE96 6BA,phone,Y,2025-11-03
ACC-10054,CUST-50054,Christopher Johnson,credit_card,late,100,1373.16,7322.25,Y,manual_follow_up,shawdenise@example.org,20440909144,W4A 9LN,phone,N,2026-01-20
ACC-10055,CUST-50055,Cameron Phillips,personal_loan,early,13,791.08,7104.61,Y,Awaiting Follow Up,marcthomas@example.org,54472161279,KW6M 6JD,email,N,2025-12-15
ACC-10056,CUST-50056,Miss Shannon Hunter,personal_loan,mid,36,583.8,13372.33,N,no_response_cycle,gilliandixon@example.com,29252799395,B13 0HG,email,Y,2025-10-01
ACC-10057,CUST-50057,Stephen Ford,personal_loan,early,22,1010.98,10799.98,N,plan_requested,pelliott@example.org,19542556948,CT2P 6EH,phone,Y,2025-11-22
ACC-10058,CUST-50058,Ms Carolyn Page,personal_loan,early,21,277.17,12006.66,N,plan_requested,terrylewis@example.org,62329379194,G6D 1GG,letter,Y,2025-10-22
ACC-10059,CUST-50059,Deborah Mistry-Taylor,credit_card,early,13,1797.49,7919.63,N,email_sent,phillip23@example.net,35401267844,W87 3QQ,sms,Y,2025-10-13
ACC-10060,CUST-50060,Deborah Barber,credit_card,mid,43,320.17,3842.44,N,awaiting_follow_up,callum36@example.net,73711007868,CT4 8SW,phone,Y,2025-11-14
ACC-10061,CUST-50061,Sharon Palmer,credit_card,early,6,1090.24,9357.84,N,promise_due,jessica71@example.org,44036325004,S9G 5HQ,email,Y,2025-11-09
ACC-10062,CUST-50062,Elliot Warren,credit_card,mid,33,505.69,8000.73,N,new delinquency,jtaylor@example.net,57179487001,N7U 9WT,sms,Y,2025-10-18
ACC-10063,CUST-50063,Jonathan Fleming,credit_card,early,12,779.84,8300.45,N,plan_requested,osbornegemma@example.net,45085465230,G57 3LZ,sms,Y,2025-10-08
ACC-10064,CUST-50064,Mr Gary Fletcher,personal_loan,early,26,1597.05,4893.64,N,plan_requested,damiencole@example.com,53739987422,NG43 7RE,sms,Y,2025-10-04
ACC-10065,CUST-50065,Dr Hollie Martin,credit_card,early,6,221.49,4436.84,N,manual_follow_up,jporter@example.net,61970273903,JE5E 7DW,phone,Y,2025-11-03
ACC-10066,CUST-50066,Mr Eric Edwards,auto_finance,early,27,286.97,12569.2,N,email_sent,leewendy@example.net,33751258732,G7 6AB,sms,Y,2025-10-30
ACC-10067,CUST-50067,Sophie King,personal_loan,mid,57,1434.26,7808.55,N,plan_requested,andrewssuzanne@example.com,,G3 9PX,phone,Y,2025-12-09
ACC-10068,CUST-50068,Douglas Wright,credit_card,early,13,971.03,1483.99,N,awaiting_follow_up,hughwalker@example.net,04765055892,S6 8QZ,phone,Y,2026-01-24
ACC-10069,CUST-50069,Albert Smith,auto_finance,late,85,1397.76,6560.21,N,,milesamelia@example.org,48608433003,BR3Y 9JL,letter,N,2025-12-11
ACC-10070,CUST-50070,Bryan Stevens-Smart,credit_card,early,29,1681.54,4657.78,N,,gordonharrison@example.com,64984495814,CW2 1DT,,Y,2025-11-22
ACC-10071,CUST-50071,Janet Potter,personal_loan,late,108,1696.78,9182.98,Y,email_sent,uwilson@example.com,01012612062,KT42 1PG,sms,N,2025-11-22
ACC-10072,CUST-50072,Joseph Gough,credit_card,mid,34,1343.42,13167.4,N,email_sent,jamesjulie@example.net,84632526696,PR0A 2HU,phone,Y,2025-10-14
ACC-10073,CUST-50073,Hollie Owen,personal_loan,early,23,1515.86,3502.88,N,legal_watch,frederick66@example.net,83394411798,E0C 0LY,letter,Y,2025-10-30
ACC-10074,CUST-50074,Jake Lewis-Akhtar,credit_card,late,106,930.53,6122.31,Y,legal_watch,wmoran@example.org,76354794570,W8T 6QW,sms,N,2025-11-18
ACC-10075,CUST-50075,Paul Pritchard-Phillips,personal_loan,early,29,1234.88,4041.45,Y,new_delinquency,woodgerard@example.net,61907346604,DH0 3PU,phone,N,2026-01-02
ACC-10076,CUST-50076,Terence Atkinson,personal_loan,late,84,310.52,5605.78,N,specialist_review,gjohnson@example.com,12741589075,E68 7YS,phone,N,2025-11-14
ACC-10077,CUST-50077,Dr Louise Smith,personal_loan,early,26,136.6,2019.65,N,plan_requested,burkemathew@example.org,01865878461,S28 4XP,,Y,2025-11-23
ACC-10078,CUST-50078,Russell Walker,auto_finance,early,25,824.18,3115.95,N,legal_watch,clarkdennis@example.net,11064206023,PO1 8EA,phone,Y,2025-12-25
ACC-10079,CUST-50079,Mr Robert Davies,personal_loan,mid,42,1033.7,2841.57,N,legal_watch,paul61@example.org,75006781071,EC0 4XP,sms,Y,2025-12-08
ACC-10080,CUST-50080,Douglas Rowe,personal_loan,mid,45,1092.43,5884.24,N,Awaiting Follow Up,qhancock@example.org,69943513049,IM9 4HZ,email,Y,2025-10-13
ACC-10081,CUST-50081,Dr Stewart Clements,credit_card,early,17,1246.33,6377.85,N,plan_requested,patricia86@example.net,,NR8B 8JR,letter,N,2025-12-03
ACC-10082,CUST-50082,Simon Jackson,credit_card,early,17,952.49,6581.32,N,no_response_cycle,wayne50@example.org,32751607381,M21 4WX,,Y,2025-10-26
ACC-10083,CUST-50083,Sara Morris,credit_card,early,25,977.15,7433.91,N,legal_watch,liamthorpe@example.org,63722837738,N5 4GZ,phone,Y,2025-10-23
ACC-10084,CUST-50084,Miss Amanda Wright,personal_loan,early,18,983.77,4367.42,N,email_sent,reeceflynn@example.org,13549862477,NG53 1FJ,phone,Y,2025-12-21
ACC-10085,CUST-50085,Bryan Thomas,credit_card,early,17,829.45,3498.07,N,Awaiting Follow Up,rhaynes@example.com,06433583302,BB05 2HS,phone,Y,2025-12-05
ACC-10086,CUST-50086,Lucy Phillips,credit_card,early,6,452.89,11536.12,N,plan_requested,bakerfiona@example.net,78029222697,PA6A 9SD,letter,Y,2025-11-21
ACC-10087,CUST-50087,Melissa Ball,personal_loan,early,8,656.19,13353.37,N,specialist_review,dalesaunders@example.org,27765064219,AL4 2EW,email,Y,2025-12-11
ACC-10088,CUST-50088,Bradley Hall,credit_card,early,12,1747.53,8133.99,N,legal_watch,wayne47@example.org,12106648352,DL41 3LP,phone,Y,2026-01-02
ACC-10089,CUST-50089,Katie Pearson,personal_loan,mid,30,751.65,4251.41,N,no_response_cycle,wallallan@example.net,49374641678,N9D 2WL,sms,Y,2025-12-01
ACC-10090,CUST-50090,Roy Marshall-Newman,personal_loan,early,12,1608.3,14626.42,Y,manual_follow_up,linda51@example.org,60987687468,B0 4WR,letter,N,2025-10-08
ACC-10091,CUST-50091,Maria Harding-Reid,auto_finance,early,29,769.35,3840.45,N,specialist_review,jodierees@example.net,51111678803,W3S 7TL,phone,Y,2025-10-02
ACC-10092,CUST-50092,Caroline Yates-Harrison,personal_loan,mid,58,329.89,9113.04,N,manual_follow_up,,21450267747,M2B 6DH,,Y,2025-10-10
ACC-10093,CUST-50093,Mr Brandon Begum,auto_finance,mid,55,973.08,8143.6,Y,Awaiting Follow Up,mgriffiths@example.com,82400707833,WN8 8EU,email,N,2025-10-26
ACC-10094,CUST-50094,Julie Harris-Ashton,credit_card,early,15,586.35,7387.8,N,specialist_review,zporter@example.com,01449885175,L1 0YG,letter,Y,2025-11-19
ACC-10095,CUST-50095,Mr Jonathan Hilton,credit_card,mid,37,210.77,10950.45,N,specialist_review,hollie59@example.org,44611774738,PE7 4PU,email,Y,2026-01-25
ACC-10096,CUST-50096,Samuel Allen,credit_card,early,10,1150.24,13375.47,N,plan_requested,ricedarren@example.org,79433093290,L94 2XJ,email,Y,2026-01-28
ACC-10097,CUST-50097,Ms Carol Smith,credit_card,early,5,1306.75,11627.93,N,manual_follow_up,christopherbutler@example.org,37988279548,N2H 7JP,email,Y,2025-11-17
ACC-10098,CUST-50098,Josephine Burton-Atkinson,credit_card,early,23,1430.77,11192.75,N,legal_watch,sallysutton@example.com,31757358685,PR7 8EX,phone,Y,2025-10-28
ACC-10099,CUST-50099,Bradley Griffin,credit_card,mid,37,1317.86,8706.41,N,specialist_review,dorothywillis@example.net,34129341963,KY9 3DS,,Y,2025-11-08
ACC-10100,CUST-50100,Gerard Johnson-King,credit_card,early,9,479.0,2433.81,N,manual_follow_up,bdavies@example.net,53355916358,SG4 5SD,email,Y,2025-10-29
ACC-10101,CUST-50101,Dr Ryan Miller,credit_card,early,8,1426.86,7003.13,N,new_delinquency,,49862436415,DN28 4UP,email,Y,2025-10-10
ACC-10102,CUST-50102,Simon Hutchinson,credit_card,early,9,793.99,7610.56,N,email_sent,qgallagher@example.net,40462097615,B9 7RY,phone,Y,2025-10-04
ACC-10103,CUST-50103,Amber Jones-Hartley,personal_loan,early,17,109.68,2524.77,N,no_response_cycle,bradleyadrian@example.net,65826070370,W8 8WG,letter,Y,2025-10-12
ACC-10104,CUST-50104,Ms Margaret Norton,personal_loan,mid,53,1175.08,1877.0,N,manual follow up,ashleighlowe@example.org,28535698763,M80 9JN,letter,Y,2025-12-21
ACC-10105,CUST-50105,Leanne Noble,personal_loan,early,28,694.89,13215.76,N,no_response_cycle,hellis@example.com,38891105261,N07 5HZ,,Y,2025-12-19
ACC-10106,CUST-50106,Dominic Spencer-Smith,personal_loan,early,19,1290.58,14892.89,N,awaiting_follow_up,turnbulljodie@example.net,40412512296,N6G 5RY,sms,Y,2025-11-28
ACC-10107,CUST-50107,Ms Ellie Osborne,personal_loan,mid,44,361.76,3649.05,N,specialist_review,bryan31@example.com,62888163647,L4 1WF,letter,Y,2025-11-10
ACC-10108,CUST-50108,Miss Victoria Matthews,credit_card,early,6,490.21,5625.84,N,email_sent,francesgill@example.org,61337187709,S7 4WG,sms,Y,2025-12-30
ACC-10109,CUST-50109,Raymond Wright-Parry,personal_loan,early,5,927.79,10139.94,N,no_response_cycle,rosekaty@example.com,25571886624,L98 1HY,email,Y,2025-10-20
ACC-10110,CUST-50110,Dr Scott Pearce,credit_card,mid,38,500.27,8340.26,N,specialist_review,hendersonsophie@example.org,59657499279,EN5 8DB,email,Y,2025-12-30
ACC-10111,CUST-50111,Dr Antony Parry,personal_loan,late,98,902.85,1605.56,N,Awaiting Follow Up,,43163633191,DT6 5LH,letter,N,2025-11-12
ACC-10112,CUST-50112,Elizabeth Gibson,personal_loan,early,19,980.03,2815.03,N,promise_due,kwebster@example.org,97732673955,CB17 7WW,email,Y,2026-01-22
ACC-10113,CUST-50113,Dr Neil Gough,credit_card,early,9,707.58,12242.76,N,manual_follow_up,williamsmichelle@example.net,55859408574,M74 4DY,phone,Y,2025-11-25
ACC-10114,CUST-50114,Gregory Dobson,auto_finance,early,8,1168.72,14285.43,N,awaiting_follow_up,antony05@example.com,72943458758,N49 3PU,letter,Y,2026-01-16
ACC-10115,CUST-50115,Mrs Shannon Johnson,credit_card,mid,32,1056.13,13299.38,Y,email_sent,gsmith@example.net,49731007903,G7A 3AQ,sms,N,2025-12-24
ACC-10116,CUST-50116,Dr Terence Austin,credit_card,late,85,83.51,7276.08,Y,plan_requested,julia34@example.net,15124034679,NN2W 4XS,,N,2025-11-24
ACC-10117,CUST-50117,Miss Kathleen Perry,credit_card,early,16,841.76,4550.64,N,specialist_review,gwilliams@example.net,51298655474,BB2N 3PN,phone,Y,2025-12-10
ACC-10118,CUST-50118,Grace Jones,credit_card,early,6,348.88,9419.63,N,specialist_review,simpsonsamuel@example.org,35330406001,FY6M 6JT,sms,Y,2025-12-31
ACC-10119,CUST-50119,Marie Ward,personal_loan,mid,35,1285.66,5866.45,N,Awaiting Follow Up,laustin@example.net,03615546807,L97 4UQ,sms,Y,2025-12-10
ACC-10120,CUST-50120,Joanne Wright,credit_card,late,94,653.5,13373.97,Y,manual_follow_up,welchkeith@example.net,08363918479,E30 8GN,sms,N,2026-01-01
ACC-10121,CUST-50121,Mandy Patel,credit_card,late,64,150.51,2780.65,Y,promise due,apickering@example.net,32203763783,N8 7ZJ,sms,N,2026-01-02
ACC-10122,CUST-50122,Peter Hunt-Hunter,auto_finance,mid,53,1378.07,4321.19,N,promise_due,jeremysmith@example.com,96231481786,L3D 8YR,email,Y,2025-11-16
ACC-10123,CUST-50123,Hollie Clarke,personal_loan,mid,52,788.94,11988.95,N,plan_requested,twilliams@example.org,50588634403,G5G 8QU,,Y,2025-10-05
ACC-10124,CUST-50124,Dr Sophie Ball,credit_card,mid,35,934.86,10443.1,N,email_sent,beverley67@example.org,98178752206,BD2E 8SJ,,Y,2025-12-31
ACC-10125,CUST-50125,Mrs Georgia Flynn,credit_card,early,7,876.73,9143.87,N,,julian12@example.com,18445253971,G2A 8ZF,email,Y,2025-12-20
ACC-10126,CUST-50126,Dr Jeffrey Hill,auto_finance,late,117,1051.22,13105.25,Y,specialist_review,wburns@example.net,34572272024,L75 4ZL,letter,N,2025-11-24
ACC-10127,CUST-50127,Steven Hunt,credit_card,late,99,1765.96,13025.5,Y,plan requested,elliotmccarthy@example.com,00825436429,HR9B 9XJ,letter,N,2026-01-24
ACC-10128,CUST-50128,Miss Grace Burton,personal_loan,early,27,940.58,7271.43,N,awaiting_follow_up,warneralan@example.org,97657001754,B51 0LW,phone,Y,2025-11-06
ACC-10129,CUST-50129,Sean Walters-Harris,personal_loan,early,28,1093.57,12794.21,N,new_delinquency,wmiah@example.net,91351133673,L1 7DH,letter,Y,2026-01-04
ACC-10130,CUST-50130,Miss Alice Johnson,auto_finance,late,75,1320.14,13563.96,N,manual_follow_up,vincentcole@example.org,87614824780,N1D 2AQ,phone,N,2025-11-11
ACC-10131,CUST-50131,Miss Jade Simmons,auto_finance,late,111,1313.45,8313.4,Y,legal_watch,francis75@example.net,,HG3R 6HR,,N,2025-11-25
ACC-10132,CUST-50132,Iain Bates,credit_card,mid,35,411.58,2394.82,N,promise due,bethanbentley@example.org,00198739374,E5C 7SR,,Y,2025-11-07
ACC-10133,CUST-50133,Raymond Lee-Collins,personal_loan,mid,49,407.13,6369.96,N,no_response_cycle,keithholmes@example.net,95778187120,CW07 0EU,,Y,2025-10-10
ACC-10134,CUST-50134,Dr Gordon Donnelly,credit_card,early,23,230.59,1403.16,N,manual_follow_up,julie45@example.net,24164522881,CB57 2AD,email,Y,2025-10-27
ACC-10135,CUST-50135,Leonard Young,auto_finance,mid,57,281.0,1056.87,N,awaiting follow up,bethancooke@example.org,09424203370,N12 9RL,email,Y,2025-11-26
ACC-10136,CUST-50136,Trevor Turner,credit_card,mid,59,856.71,2652.23,N,legal_watch,annapotter@example.com,88862162295,E4C 1BY,phone,Y,2025-10-01
ACC-10137,CUST-50137,Dr Joanna Smith,credit_card,early,19,1316.04,2183.72,N,promise_due,tonyhughes@example.net,81937773989,TA0 3QA,phone,Y,2025-11-09
ACC-10138,CUST-50138,Louise Mills,personal_loan,mid,42,1301.27,4597.71,N,new_delinquency,aimee43@example.net,74541517410,N3F 3FB,phone,Y,2025-12-11
ACC-10139,CUST-50139,Karl Jackson,personal_loan,mid,34,1594.1,10211.2,N,new delinquency,karlwright@example.com,48433694739,NR8H 8FY,,Y,2025-10-09
ACC-10140,CUST-50140,Mitchell Jenkins,personal_loan,late,95,498.06,9698.35,N,manual_follow_up,valeriesteele@example.net,12518582468,KW8Y 7HG,sms,N,2025-10-15
ACC-10141,CUST-50141,Mr Jay Richards,personal_loan,early,20,236.37,12658.78,N,new_delinquency,clementsliam@example.net,,M9 4ZL,letter,Y,2026-01-20
ACC-10142,CUST-50142,Allan Hope,personal_loan,early,26,1725.58,7785.14,N,manual_follow_up,timothy48@example.org,74694818317,E82 9UZ,phone,Y,2026-01-17
ACC-10143,CUST-50143,Ms Heather Daly,credit_card,early,28,799.42,14662.13,N,Awaiting Follow Up,leigh52@example.com,45213519909,WV2M 8ED,,Y,2025-11-18
ACC-10144,CUST-50144,Lynne Allen,credit_card,mid,40,609.33,7931.83,N,manual_follow_up,reececlayton@example.net,05200209460,IM9 7TE,sms,Y,2025-10-28
ACC-10145,CUST-50145,Stephen Parsons,personal_loan,early,12,1096.2,14119.1,N,specialist_review,baileysam@example.net,19675196533,G51 2HX,email,Y,2026-01-07
ACC-10146,CUST-50146,Dr Francis Brown,credit_card,late,61,1330.67,3564.1,N,promise due,stuartferguson@example.net,63441086044,HP6R 8HY,email,N,2025-11-23
ACC-10147,CUST-50147,Miss Janet Wilson,credit_card,early,23,1314.57,12597.41,N,no_response_cycle,pauline34@example.org,47573097777,G7 9QT,email,Y,2025-11-19
ACC-10148,CUST-50148,Tina Fox,personal_loan,mid,51,1794.03,12533.44,N,Awaiting Follow Up,hodgsonnigel@example.net,07102714194,DG3 5TD,email,Y,2025-10-30
ACC-10149,CUST-50149,Mrs Holly Phillips,credit_card,early,12,839.96,7171.22,N,plan_requested,bthompson@example.com,55679499581,B4T 6FE,,Y,2025-11-13
ACC-10150,CUST-50150,Hazel Watkins,credit_card,early,13,358.35,7695.53,N,plan_requested,parkinsonrosie@example.org,55600262857,NR11 0QP,phone,Y,2025-10-13
ACC-10151,CUST-50151,Jonathan Green,personal_loan,early,17,579.36,3904.49,N,specialist_review,godfreybrenda@example.com,,SG4P 6TX,sms,Y,2025-11-13
ACC-10152,CUST-50152,Dawn Graham,credit_card,early,23,823.76,14686.41,N,new_delinquency,shobbs@example.org,07857039681,M4C 0YW,letter,Y,2025-11-29
ACC-10153,CUST-50153,Dr Dylan Young,personal_loan,mid,41,486.8,3447.72,N,new_delinquency,tom65@example.com,08394888349,SP7N 8LA,sms,Y,2025-10-13
ACC-10154,CUST-50154,Mr Martin Hodgson,auto_finance,early,17,1443.09,8937.04,N,no_response_cycle,stephaniewilson@example.org,53882404339,TS75 8BW,phone,Y,2025-12-29
ACC-10155,CUST-50155,Kenneth Marshall,credit_card,early,13,749.94,5646.19,N,Awaiting Follow Up,thomaswilliams@example.org,50118078907,KA2 7RL,phone,Y,2025-12-16
ACC-10156,CUST-50156,Mr William Manning,personal_loan,late,66,284.7,7331.84,N,awaiting_follow_up,conorashton@example.net,10623749917,B3 8LR,phone,N,2025-12-02
ACC-10157,CUST-50157,Roy Connor,credit_card,early,25,1252.34,2219.43,N,legal_watch,nicole73@example.com,38027501327,FK2 1UY,sms,Y,2025-11-14
ACC-10158,CUST-50158,Bethany Willis,credit_card,early,29,559.48,11714.31,N,Awaiting Follow Up,howardholly@example.net,04565516378,TN7Y 4NX,email,Y,2025-12-22
ACC-10159,CUST-50159,Stephanie Houghton-James,auto_finance,mid,50,847.87,4436.73,N,manual_follow_up,bethany22@example.org,,S65 7DN,letter,Y,2025-12-08
